date,ticker,company_name
2/12/26,TIETOS.ST,Tieto Evry
2/12/26,ACTI.ST,Active Biotech
2/12/26,ADDV-A.ST,ADDvise Group
2/12/26,AQS-B.ST,AQ Group
2/12/26,BIOG-B.ST,BioGaia
2/12/26,CRAD-B.ST,C-Rad
2/12/26,FPAR-A.ST,Fastpartner
2/12/26,GENI.ST,Generic Sweden
2/12/26,GENO.ST,Genovis
2/12/26,HUFV-A.ST,Hufvudstaden
2/12/26,IVSO.ST,INVISIO
2/12/26,JLT.ST,JLT Mobile Computers
2/12/26,LIAB.ST,Lindab International
2/12/26,MEKO.ST,MEKO
2/12/26,NIBE-B.ST,Nibe Industrier
2/12/26,NMAN.ST,Nederman Holding
2/12/26,PREC.ST,Precise Biometrics
2/12/26,PROF-B.ST,ProfilGruppen
2/12/26,RAILG.ST,Railcare Group
2/12/26,RAY-B.ST,Raysearch Laboratories
2/12/26,STIL.ST,Stille
2/12/26,TRAD.ST,TradeDoubler
2/12/26,VESTUM.ST,Vestum
2/12/26,AIK-B.ST,AIK Fotboll
2/12/26,CARA.ST,Carasent
2/12/26,STEF-B.ST,Stendörren Fastigheter
2/12/26,BRIX.ST,Briox
2/12/26,FRWA-B.ST,Frontwalker
2/12/26,LEA.ST,Lea Bank
2/12/26,TOURN.ST,Tourn International
2/12/26,BIM.ST,BIMobject
2/12/26,CLAV.ST,Clavister
2/12/26,ARCOMA.ST,Arcoma
2/12/26,ORGC.ST,OrganoClick
2/12/26,MORROW.ST,Morrow Bank
2/12/26,VOLO.ST,Volati
2/12/26,STUDBO.ST,Studentbostäder i Norden
2/12/26,NIL-B.ST,Nilörngruppen
2/12/26,HYCO.ST,Hybricon
2/12/26,CAMX.ST,Camurus
2/12/26,WPTG-B.ST,White Pearl Technology Group
2/12/26,POLYG.ST,Polygiene Group
2/12/26,LITI.ST,Litium
2/12/26,SECARE.ST,Swedencare
2/12/26,NYAB.ST,NYAB
2/12/26,CFISH.ST,Crunchfish
2/12/26,EMBRAC-B.ST,Embracer Group
2/12/26,ATORX.ST,Alligator Bioscience
2/12/26,AINO.ST,Aino Health
2/12/26,BLUE.ST,Bluelake Mineral
2/12/26,ACARIX.ST,Acarix
2/12/26,AERO.ST,Svenska Aerogel Holding
2/12/26,AMBEA.ST,Ambea
2/12/26,XMR.ST,XMReality
2/12/26,INSTAL.ST,Instalco
2/12/26,SEDANA.ST,Sedana Medical
2/12/26,RLVNC.ST,Relevance Communication Nordic
2/12/26,XSPRAY.ST,Xspray Pharma
2/12/26,FNM.ST,Ferronordic
2/12/26,ICO.ST,Iconovo
2/12/26,KEBNI-B.ST,KebNi
2/12/26,LIMET.ST,Lime Technologies
2/12/26,LARK.ST,Lärkberget
2/12/26,FERRO.ST,Ferroamp
